# == pyFAI calibration ==
# Distance Sample to Detector: 0.16467985556231649 m
# PONI: 9.242e-02, 8.817e-02 m
# Rotations: 0.000148 0.000104 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 164.680 mm
# Center: x=1175.307, y=1232.557 pix
# Tilt: 0.010 deg  TiltPlanRot: 144.812 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/easy/data/visitor/ihsc1713/id13/XXPROCESS/Cfluct_sp_avg.dat
#       q_nm^-1             I 
  1.487977e+01    2.319864e+01
  1.492222e+01    2.306964e+01
  1.496468e+01    2.294804e+01
  1.500713e+01    2.283142e+01
  1.504958e+01    2.270195e+01
  1.509203e+01    2.256363e+01
  1.513449e+01    2.244274e+01
  1.517694e+01    2.229955e+01
  1.521939e+01    2.216978e+01
  1.526184e+01    2.203359e+01
  1.530430e+01    2.189179e+01
  1.534675e+01    2.175286e+01
  1.538920e+01    2.161183e+01
  1.543165e+01    2.147107e+01
  1.547411e+01    2.132435e+01
  1.551656e+01    2.117361e+01
  1.555901e+01    2.103154e+01
  1.560147e+01    2.087219e+01
  1.564392e+01    2.071417e+01
  1.568637e+01    2.055599e+01
  1.572882e+01    2.039750e+01
  1.577128e+01    2.024109e+01
  1.581373e+01    2.009031e+01
  1.585618e+01    1.992933e+01
  1.589863e+01    1.977674e+01
  1.594109e+01    1.962374e+01
  1.598354e+01    1.947827e+01
  1.602599e+01    1.934084e+01
  1.606844e+01    1.919532e+01
  1.611090e+01    1.905126e+01
  1.615335e+01    1.891643e+01
  1.619580e+01    1.878138e+01
  1.623825e+01    1.867305e+01
  1.628071e+01    1.856151e+01
  1.632316e+01    1.841706e+01
  1.636561e+01    1.827742e+01
  1.640806e+01    1.817023e+01
  1.645052e+01    1.804599e+01
  1.649297e+01    1.794243e+01
  1.653542e+01    1.782378e+01
  1.657788e+01    1.772075e+01
  1.662033e+01    1.760767e+01
  1.666278e+01    1.751660e+01
  1.670523e+01    1.740493e+01
  1.674769e+01    1.731510e+01
  1.679014e+01    1.720475e+01
  1.683259e+01    1.712293e+01
  1.687504e+01    1.702082e+01
  1.691750e+01    1.693669e+01
  1.695995e+01    1.685310e+01
  1.700240e+01    1.676606e+01
  1.704485e+01    1.669268e+01
  1.708731e+01    1.660072e+01
  1.712976e+01    1.653855e+01
  1.717221e+01    1.644966e+01
  1.721466e+01    1.639248e+01
  1.725712e+01    1.630262e+01
  1.729957e+01    1.625298e+01
  1.734202e+01    1.617264e+01
  1.738448e+01    1.612673e+01
  1.742693e+01    1.604215e+01
  1.746938e+01    1.600340e+01
  1.751183e+01    1.592378e+01
  1.755429e+01    1.588534e+01
  1.759674e+01    1.581577e+01
  1.763919e+01    1.576843e+01
  1.768164e+01    1.572718e+01
  1.772410e+01    1.566650e+01
  1.776655e+01    1.563063e+01
  1.780900e+01    1.557258e+01
  1.785145e+01    1.554846e+01
  1.789391e+01    1.549035e+01
  1.793636e+01    1.547077e+01
  1.797881e+01    1.540908e+01
  1.802126e+01    1.539387e+01
  1.806372e+01    1.532659e+01
  1.810617e+01    1.530154e+01
  1.814862e+01    1.525569e+01
  1.819108e+01    1.521293e+01
  1.823353e+01    1.518103e+01
  1.827598e+01    1.513062e+01
  1.831843e+01    1.509604e+01
  1.836089e+01    1.511239e+01
  1.840334e+01    1.500947e+01
