# == pyFAI calibration ==
# Distance Sample to Detector: 0.16467985556231649 m
# PONI: 9.242e-02, 8.817e-02 m
# Rotations: 0.000148 0.000104 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 164.680 mm
# Center: x=1175.307, y=1232.557 pix
# Tilt: 0.010 deg  TiltPlanRot: 144.812 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/easy/data/visitor/ihsc1713/id13/XXPROCESS/Cfluct_spd_avg.dat
#       q_nm^-1             I 
  1.746938e+01    1.765950e+01
  1.751183e+01    1.749757e+01
  1.755429e+01    1.737190e+01
  1.759674e+01    1.722883e+01
  1.763919e+01    1.709398e+01
  1.768164e+01    1.698393e+01
  1.772410e+01    1.684386e+01
  1.776655e+01    1.673596e+01
  1.780900e+01    1.660213e+01
  1.785145e+01    1.651229e+01
  1.789391e+01    1.638626e+01
  1.793636e+01    1.629740e+01
  1.797881e+01    1.617624e+01
  1.802126e+01    1.608507e+01
  1.806372e+01    1.596878e+01
  1.810617e+01    1.587413e+01
  1.814862e+01    1.577654e+01
  1.819108e+01    1.566885e+01
  1.823353e+01    1.558480e+01
  1.827598e+01    1.547782e+01
  1.831843e+01    1.539112e+01
  1.836089e+01    1.535871e+01
  1.840334e+01    1.519442e+01
  1.844579e+01    1.508285e+01
  1.848824e+01    1.499679e+01
  1.853070e+01    1.488612e+01
  1.857315e+01    1.479381e+01
  1.861560e+01    1.470305e+01
  1.865805e+01    1.459689e+01
  1.870051e+01    1.451924e+01
  1.874296e+01    1.441610e+01
  1.878541e+01    1.433681e+01
  1.882786e+01    1.422433e+01
  1.887032e+01    1.415646e+01
  1.891277e+01    1.403842e+01
  1.895522e+01    1.396364e+01
  1.899768e+01    1.386590e+01
  1.904013e+01    1.376894e+01
  1.908258e+01    1.370773e+01
  1.912503e+01    1.359939e+01
  1.916749e+01    1.353599e+01
  1.920994e+01    1.343371e+01
  1.925239e+01    1.335778e+01
  1.929484e+01    1.327205e+01
  1.933730e+01    1.320109e+01
  1.937975e+01    1.313109e+01
  1.942220e+01    1.303032e+01
  1.946465e+01    1.299204e+01
  1.950711e+01    1.288067e+01
  1.954956e+01    1.284027e+01
  1.959201e+01    1.272213e+01
  1.963446e+01    1.267168e+01
  1.967692e+01    1.258453e+01
  1.971937e+01    1.249784e+01
  1.976182e+01    1.242440e+01
  1.980427e+01    1.228957e+01
  1.984673e+01    1.221011e+01
  1.988918e+01    1.209042e+01
  1.993163e+01    1.203196e+01
  1.997409e+01    1.191385e+01
  2.001654e+01    1.184144e+01
  2.005899e+01    1.177155e+01
  2.010144e+01    1.165982e+01
  2.014390e+01    1.160909e+01
  2.018635e+01    1.150581e+01
  2.022880e+01    1.144841e+01
  2.027125e+01    1.136312e+01
  2.031371e+01    1.128195e+01
  2.035616e+01    1.120882e+01
  2.039861e+01    1.111598e+01
  2.044106e+01    1.108560e+01
  2.048352e+01    1.096328e+01
  2.052597e+01    1.091351e+01
  2.056842e+01    1.083378e+01
  2.061087e+01    1.075908e+01
  2.065333e+01    1.069521e+01
  2.069578e+01    1.061674e+01
  2.073823e+01    1.055856e+01
  2.078069e+01    1.058708e+01
  2.082314e+01    1.053123e+01
  2.086559e+01    1.050099e+01
  2.090804e+01    1.044134e+01
  2.095050e+01    1.041729e+01
  2.099295e+01    1.035054e+01
  2.103540e+01    1.030410e+01
  2.107785e+01    1.028704e+01
  2.112031e+01    1.019797e+01
  2.116276e+01    1.017660e+01
  2.120521e+01    1.011537e+01
