# == pyFAI calibration ==
# Distance Sample to Detector: 0.16467985556231649 m
# PONI: 9.242e-02, 8.817e-02 m
# Rotations: 0.000148 0.000104 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 164.680 mm
# Center: x=1175.307, y=1232.557 pix
# Tilt: 0.010 deg  TiltPlanRot: 144.812 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/easy/data/visitor/ihsc1713/id13/XXPROCESS/Cfluct_empty_avg.dat
#       q_nm^-1             I 
  1.645052e+01    4.960343e+00
  1.649297e+01    4.940431e+00
  1.653542e+01    4.916945e+00
  1.657788e+01    4.893349e+00
  1.662033e+01    4.869311e+00
  1.666278e+01    4.851782e+00
  1.670523e+01    4.827044e+00
  1.674769e+01    4.808794e+00
  1.679014e+01    4.785141e+00
  1.683259e+01    4.768806e+00
  1.687504e+01    4.748068e+00
  1.691750e+01    4.731012e+00
  1.695995e+01    4.715883e+00
  1.700240e+01    4.696939e+00
  1.704485e+01    4.682792e+00
  1.708731e+01    4.665463e+00
  1.712976e+01    4.655411e+00
  1.717221e+01    4.636016e+00
  1.721466e+01    4.627439e+00
  1.725712e+01    4.609730e+00
  1.729957e+01    4.602046e+00
  1.734202e+01    4.587896e+00
  1.738448e+01    4.580714e+00
  1.742693e+01    4.567579e+00
  1.746938e+01    4.562004e+00
  1.751183e+01    4.551300e+00
  1.755429e+01    4.547790e+00
  1.759674e+01    4.537441e+00
  1.763919e+01    4.531986e+00
  1.768164e+01    4.529874e+00
  1.772410e+01    4.523781e+00
  1.776655e+01    4.521593e+00
  1.780900e+01    4.515669e+00
  1.785145e+01    4.517957e+00
  1.789391e+01    4.517024e+00
  1.793636e+01    4.516772e+00
