# == pyFAI calibration ==
# Distance Sample to Detector: 0.12919864315695237 m
# PONI: 9.601e-02, 9.529e-02 m
# Rotations: 0.006465 0.000205 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.201 mm
# Center: x=1259.455, y=1280.428 pix
# Tilt: 0.371 deg  TiltPlanRot: 178.181 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /mnt/multipath-shares/tmp_14_days/es1097_ux/zp1_yp0_1609.dat
#        q_A^-1             I 
  2.005885e+00    6.220273e+01
  2.010924e+00    6.211440e+01
  2.015963e+00    6.170974e+01
  2.021002e+00    6.174236e+01
  2.026041e+00    6.138860e+01
  2.031080e+00    6.168796e+01
  2.036118e+00    6.080649e+01
  2.041157e+00    6.095267e+01
  2.046196e+00    6.083187e+01
  2.051235e+00    6.070152e+01
  2.056274e+00    6.059835e+01
  2.061313e+00    6.038166e+01
  2.066352e+00    6.027579e+01
  2.071390e+00    6.020131e+01
  2.076429e+00    5.996997e+01
  2.081468e+00    6.005888e+01
  2.086507e+00    5.969513e+01
  2.091546e+00    5.979574e+01
  2.096585e+00    5.944190e+01
  2.101623e+00    5.948722e+01
  2.106662e+00    5.934523e+01
  2.111701e+00    5.919977e+01
  2.116740e+00    5.914423e+01
  2.121779e+00    5.892671e+01
  2.126818e+00    5.872779e+01
  2.131857e+00    5.894225e+01
  2.136895e+00    5.852711e+01
  2.141934e+00    5.857292e+01
  2.146973e+00    5.825068e+01
  2.152012e+00    5.857379e+01
  2.157051e+00    5.824883e+01
  2.162090e+00    5.840107e+01
  2.167128e+00    5.814576e+01
  2.172167e+00    5.796157e+01
  2.177206e+00    5.796859e+01
  2.182245e+00    5.805823e+01
  2.187284e+00    5.793282e+01
  2.192323e+00    5.766347e+01
  2.197361e+00    5.791939e+01
  2.202400e+00    5.760017e+01
  2.207439e+00    5.781784e+01
  2.212478e+00    5.754846e+01
  2.217517e+00    5.738056e+01
  2.222556e+00    5.735970e+01
  2.227595e+00    5.729316e+01
  2.232633e+00    5.723876e+01
  2.237672e+00    5.744576e+01
  2.242711e+00    5.719252e+01
  2.247750e+00    5.713932e+01
  2.252789e+00    5.706770e+01
  2.257828e+00    5.671538e+01
  2.262866e+00    5.706884e+01
  2.267905e+00    5.712082e+01
  2.272944e+00    5.683976e+01
  2.277983e+00    5.679074e+01
  2.283022e+00    5.688935e+01
  2.288061e+00    5.666205e+01
  2.293100e+00    5.662221e+01
  2.298138e+00    5.654241e+01
  2.303177e+00    5.660481e+01
  2.308216e+00    5.630204e+01
  2.313255e+00    5.672953e+01
  2.318294e+00    5.621748e+01
  2.323333e+00    5.654102e+01
  2.328371e+00    5.628518e+01
  2.333410e+00    5.627553e+01
  2.338449e+00    5.620565e+01
  2.343488e+00    5.604461e+01
  2.348527e+00    5.614965e+01
  2.353566e+00    5.598269e+01
  2.358605e+00    5.606470e+01
  2.363643e+00    5.632915e+01
  2.368682e+00    5.622727e+01
  2.373721e+00    5.582816e+01
  2.378760e+00    5.591686e+01
  2.383799e+00    5.569689e+01
  2.388838e+00    5.579793e+01
  2.393876e+00    5.564285e+01
  2.398915e+00    5.564567e+01
  2.403954e+00    5.575719e+01
  2.408993e+00    5.572134e+01
  2.414032e+00    5.568604e+01
  2.419071e+00    5.559541e+01
  2.424110e+00    5.552991e+01
  2.429148e+00    5.555802e+01
  2.434187e+00    5.565404e+01
  2.439226e+00    5.568224e+01
  2.444265e+00    5.517223e+01
  2.449304e+00    5.541499e+01
  2.454343e+00    5.539458e+01
  2.459381e+00    5.541924e+01
  2.464420e+00    5.550994e+01
  2.469459e+00    5.513745e+01
  2.474498e+00    5.509998e+01
  2.479537e+00    5.529597e+01
  2.484576e+00    5.518348e+01
  2.489615e+00    5.520365e+01
  2.494653e+00    5.534327e+01
  2.499692e+00    5.529769e+01
  2.504731e+00    5.527962e+01
  2.509770e+00    5.533551e+01
  2.514809e+00    5.546463e+01
  2.519848e+00    5.523835e+01
  2.524886e+00    5.537153e+01
  2.529925e+00    5.511132e+01
  2.534964e+00    5.545753e+01
  2.540003e+00    5.584876e+01
  2.545042e+00    5.563929e+01
  2.550081e+00    5.553273e+01
  2.555120e+00    5.542321e+01
  2.560158e+00    5.538372e+01
  2.565197e+00    5.532279e+01
  2.570236e+00    5.566405e+01
  2.575275e+00    5.557356e+01
  2.580314e+00    5.573908e+01
  2.585353e+00    5.559865e+01
  2.590391e+00    5.552048e+01
  2.595430e+00    5.558348e+01
  2.600469e+00    5.565426e+01
  2.605508e+00    5.577209e+01
  2.610547e+00    5.565939e+01
  2.615586e+00    5.582353e+01
  2.620624e+00    5.571652e+01
  2.625663e+00    5.588260e+01
  2.630702e+00    5.622800e+01
  2.635741e+00    5.615570e+01
  2.640780e+00    5.603015e+01
  2.645819e+00    5.628579e+01
  2.650858e+00    5.661330e+01
  2.655896e+00    5.652596e+01
  2.660935e+00    5.646299e+01
  2.665974e+00    5.655102e+01
  2.671013e+00    5.680127e+01
  2.676052e+00    5.712599e+01
  2.681091e+00    5.698207e+01
  2.686129e+00    5.700562e+01
  2.691168e+00    5.698892e+01
  2.696207e+00    5.720236e+01
  2.701246e+00    5.720339e+01
  2.706285e+00    5.735352e+01
  2.711324e+00    5.727138e+01
  2.716363e+00    5.751214e+01
  2.721401e+00    5.767496e+01
  2.726440e+00    5.768826e+01
  2.731479e+00    5.775071e+01
  2.736518e+00    5.797511e+01
  2.741557e+00    5.811963e+01
  2.746596e+00    5.813013e+01
  2.751634e+00    5.812526e+01
  2.756673e+00    5.827140e+01
  2.761712e+00    5.822530e+01
  2.766751e+00    5.824121e+01
  2.771790e+00    5.828872e+01
  2.776829e+00    5.820912e+01
  2.781868e+00    5.846626e+01
  2.786906e+00    5.862554e+01
  2.791945e+00    5.855382e+01
  2.796984e+00    5.855186e+01
  2.802023e+00    5.864370e+01
  2.807062e+00    5.878053e+01
  2.812101e+00    5.865118e+01
  2.817139e+00    5.863649e+01
  2.822178e+00    5.860093e+01
  2.827217e+00    5.859284e+01
  2.832256e+00    5.861031e+01
  2.837295e+00    5.877002e+01
  2.842334e+00    5.867196e+01
  2.847373e+00    5.851405e+01
  2.852411e+00    5.864536e+01
  2.857450e+00    5.862522e+01
  2.862489e+00    5.871629e+01
  2.867528e+00    5.854543e+01
  2.872567e+00    5.860696e+01
  2.877606e+00    5.850709e+01
  2.882644e+00    5.860749e+01
  2.887683e+00    5.837812e+01
  2.892722e+00    5.880801e+01
  2.897761e+00    5.872576e+01
  2.902800e+00    5.833691e+01
  2.907839e+00    5.852835e+01
  2.912878e+00    5.843843e+01
  2.917916e+00    5.822991e+01
  2.922955e+00    5.811962e+01
  2.927994e+00    5.823362e+01
  2.933033e+00    5.808173e+01
  2.938072e+00    5.817030e+01
  2.943111e+00    5.791845e+01
  2.948149e+00    5.795019e+01
  2.953188e+00    5.778782e+01
  2.958227e+00    5.787512e+01
  2.963266e+00    5.799414e+01
  2.968305e+00    5.786659e+01
  2.973344e+00    5.770675e+01
  2.978382e+00    5.748190e+01
  2.983421e+00    5.766623e+01
  2.988460e+00    5.753378e+01
  2.993499e+00    5.750308e+01
  2.998538e+00    5.744383e+01
  3.003577e+00    5.725768e+01
  3.008616e+00    5.723556e+01
  3.013654e+00    5.736701e+01
  3.018693e+00    5.718488e+01
  3.023732e+00    5.699678e+01
  3.028771e+00    5.736741e+01
  3.033810e+00    5.724172e+01
  3.038849e+00    5.717905e+01
  3.043887e+00    5.722102e+01
  3.048926e+00    5.729555e+01
  3.053965e+00    5.715729e+01
  3.059004e+00    5.730416e+01
  3.064043e+00    5.745735e+01
  3.069082e+00    5.723766e+01
  3.074121e+00    5.738389e+01
  3.079159e+00    5.749420e+01
  3.084198e+00    5.743811e+01
  3.089237e+00    5.764171e+01
  3.094276e+00    5.753121e+01
  3.099315e+00    5.756562e+01
  3.104354e+00    5.716973e+01
  3.109392e+00    5.725830e+01
  3.114431e+00    5.710632e+01
  3.119470e+00    5.717629e+01
  3.124509e+00    5.713795e+01
  3.129548e+00    5.715692e+01
  3.134587e+00    5.747097e+01
  3.139626e+00    5.763058e+01
  3.144664e+00    5.743509e+01
  3.149703e+00    5.764048e+01
  3.154742e+00    5.794668e+01
  3.159781e+00    5.794079e+01
  3.164820e+00    5.852554e+01
  3.169859e+00    5.885840e+01
  3.174897e+00    5.900109e+01
  3.179936e+00    5.974109e+01
  3.184975e+00    5.967603e+01
  3.190014e+00    6.498190e+01
  3.195053e+00    5.964141e+01
  3.200092e+00    5.937819e+01
  3.205131e+00    5.929209e+01
  3.210169e+00    5.911839e+01
  3.215208e+00    5.872077e+01
  3.220247e+00    5.864121e+01
  3.225286e+00    5.845498e+01
  3.230325e+00    5.810556e+01
  3.235364e+00    5.798830e+01
  3.240402e+00    5.777243e+01
  3.245441e+00    5.776289e+01
  3.250480e+00    5.769645e+01
