# == pyFAI calibration ==
# Distance Sample to Detector: 0.12919864315695237 m
# PONI: 9.601e-02, 9.529e-02 m
# Rotations: 0.006465 0.000205 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.201 mm
# Center: x=1259.455, y=1280.428 pix
# Tilt: 0.371 deg  TiltPlanRot: 178.181 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /mnt/multipath-shares/tmp_14_days/es1097_ux/zp1_yp0_avg.dat
#        q_A^-1             I 
  1.688438e+00    4.605722e+01
  1.693477e+00    4.624434e+01
  1.698516e+00    4.636068e+01
  1.703555e+00    4.652361e+01
  1.708594e+00    4.670073e+01
  1.713632e+00    4.686560e+01
  1.718671e+00    4.703557e+01
  1.723710e+00    4.735905e+01
  1.728749e+00    4.849660e+01
  1.733788e+00    5.193839e+01
  1.738827e+00    5.052170e+01
  1.743865e+00    4.830122e+01
  1.748904e+00    4.810130e+01
  1.753943e+00    4.835796e+01
  1.758982e+00    4.842542e+01
  1.764021e+00    4.866013e+01
  1.769060e+00    4.881178e+01
  1.774099e+00    4.903933e+01
  1.779137e+00    4.916463e+01
  1.784176e+00    4.935402e+01
  1.789215e+00    4.960337e+01
  1.794254e+00    4.976010e+01
  1.799293e+00    4.992030e+01
  1.804332e+00    4.998241e+01
  1.809370e+00    5.025400e+01
  1.814409e+00    5.032218e+01
  1.819448e+00    5.064745e+01
  1.824487e+00    5.062306e+01
  1.829526e+00    5.074739e+01
  1.834565e+00    5.082567e+01
  1.839603e+00    5.089956e+01
  1.844642e+00    5.108954e+01
  1.849681e+00    5.106695e+01
  1.854720e+00    5.115419e+01
  1.859759e+00    5.110784e+01
  1.864798e+00    5.144745e+01
  1.869837e+00    5.132629e+01
  1.874875e+00    5.133382e+01
  1.879914e+00    5.136419e+01
  1.884953e+00    5.123977e+01
  1.889992e+00    5.161377e+01
  1.895031e+00    5.132975e+01
  1.900070e+00    5.147300e+01
  1.905108e+00    5.128691e+01
  1.910147e+00    5.160929e+01
  1.915186e+00    5.150777e+01
  1.920225e+00    5.148107e+01
  1.925264e+00    5.141513e+01
  1.930303e+00    5.144561e+01
  1.935342e+00    5.163945e+01
  1.940380e+00    5.120499e+01
  1.945419e+00    5.143254e+01
  1.950458e+00    5.135497e+01
  1.955497e+00    5.122709e+01
  1.960536e+00    5.108145e+01
  1.965575e+00    5.096225e+01
  1.970613e+00    5.100943e+01
  1.975652e+00    5.093995e+01
  1.980691e+00    5.060470e+01
  1.985730e+00    5.070931e+01
  1.990769e+00    5.060367e+01
  1.995808e+00    5.043094e+01
  2.000847e+00    5.036344e+01
  2.005885e+00    5.017506e+01
  2.010924e+00    5.024812e+01
  2.015963e+00    4.994582e+01
  2.021002e+00    4.980338e+01
  2.026041e+00    4.969623e+01
  2.031080e+00    4.975265e+01
  2.036118e+00    4.939193e+01
  2.041157e+00    4.941397e+01
  2.046196e+00    4.921460e+01
  2.051235e+00    4.916482e+01
  2.056274e+00    4.896564e+01
  2.061313e+00    4.892727e+01
  2.066352e+00    4.880092e+01
  2.071390e+00    4.864513e+01
  2.076429e+00    4.850502e+01
  2.081468e+00    4.849193e+01
  2.086507e+00    4.832513e+01
  2.091546e+00    4.829979e+01
  2.096585e+00    4.815241e+01
  2.101623e+00    4.805848e+01
  2.106662e+00    4.795520e+01
  2.111701e+00    4.791028e+01
  2.116740e+00    4.779112e+01
  2.121779e+00    4.771296e+01
  2.126818e+00    4.762037e+01
  2.131857e+00    4.755323e+01
  2.136895e+00    4.749598e+01
  2.141934e+00    4.740076e+01
  2.146973e+00    4.735168e+01
  2.152012e+00    4.731303e+01
  2.157051e+00    4.721756e+01
  2.162090e+00    4.722550e+01
  2.167128e+00    4.715719e+01
  2.172167e+00    4.703856e+01
  2.177206e+00    4.700711e+01
  2.182245e+00    4.693965e+01
  2.187284e+00    4.686906e+01
  2.192323e+00    4.680424e+01
  2.197361e+00    4.679673e+01
  2.202400e+00    4.669889e+01
  2.207439e+00    4.670481e+01
  2.212478e+00    4.660176e+01
  2.217517e+00    4.656775e+01
  2.222556e+00    4.657484e+01
  2.227595e+00    4.648461e+01
  2.232633e+00    4.643077e+01
  2.237672e+00    4.641642e+01
  2.242711e+00    4.633038e+01
  2.247750e+00    4.631194e+01
  2.252789e+00    4.628522e+01
  2.257828e+00    4.617180e+01
  2.262866e+00    4.624362e+01
  2.267905e+00    4.612561e+01
  2.272944e+00    4.614065e+01
  2.277983e+00    4.607176e+01
  2.283022e+00    4.599722e+01
  2.288061e+00    4.598113e+01
  2.293100e+00    4.594366e+01
  2.298138e+00    4.590616e+01
  2.303177e+00    4.593381e+01
  2.308216e+00    4.576262e+01
  2.313255e+00    4.585762e+01
  2.318294e+00    4.569207e+01
  2.323333e+00    4.573177e+01
  2.328371e+00    4.564885e+01
  2.333410e+00    4.561559e+01
  2.338449e+00    4.562546e+01
  2.343488e+00    4.560505e+01
  2.348527e+00    4.568196e+01
  2.353566e+00    4.601422e+01
  2.358605e+00    4.865238e+01
  2.363643e+00    5.118331e+01
  2.368682e+00    4.837592e+01
  2.373721e+00    4.584053e+01
  2.378760e+00    4.541118e+01
  2.383799e+00    4.527198e+01
  2.388838e+00    4.523865e+01
  2.393876e+00    4.518070e+01
  2.398915e+00    4.514975e+01
  2.403954e+00    4.515202e+01
  2.408993e+00    4.512828e+01
  2.414032e+00    4.507330e+01
  2.419071e+00    4.505931e+01
  2.424110e+00    4.502726e+01
  2.429148e+00    4.502893e+01
  2.434187e+00    4.500051e+01
  2.439226e+00    4.500151e+01
  2.444265e+00    4.493691e+01
  2.449304e+00    4.495940e+01
  2.454343e+00    4.491259e+01
  2.459381e+00    4.494073e+01
  2.464420e+00    4.494448e+01
  2.469459e+00    4.492945e+01
  2.474498e+00    4.485661e+01
  2.479537e+00    4.488112e+01
  2.484576e+00    4.484726e+01
  2.489615e+00    4.483475e+01
  2.494653e+00    4.484004e+01
  2.499692e+00    4.481251e+01
  2.504731e+00    4.487538e+01
  2.509770e+00    4.483958e+01
  2.514809e+00    4.486726e+01
  2.519848e+00    4.487945e+01
  2.524886e+00    4.502234e+01
  2.529925e+00    4.542114e+01
  2.534964e+00    4.788023e+01
  2.540003e+00    4.986954e+01
  2.545042e+00    4.772456e+01
  2.550081e+00    4.555050e+01
  2.555120e+00    4.506915e+01
  2.560158e+00    4.503501e+01
  2.565197e+00    4.502781e+01
  2.570236e+00    4.501507e+01
  2.575275e+00    4.502841e+01
  2.580314e+00    4.521662e+01
  2.585353e+00    4.508270e+01
  2.590391e+00    4.507179e+01
  2.595430e+00    4.515508e+01
  2.600469e+00    4.514617e+01
  2.605508e+00    4.520132e+01
  2.610547e+00    4.524138e+01
  2.615586e+00    4.527544e+01
  2.620624e+00    4.533359e+01
  2.625663e+00    4.541845e+01
  2.630702e+00    4.551699e+01
  2.635741e+00    4.560120e+01
  2.640780e+00    4.566067e+01
  2.645819e+00    4.570209e+01
  2.650858e+00    4.583305e+01
  2.655896e+00    4.589469e+01
  2.660935e+00    4.593958e+01
  2.665974e+00    4.603761e+01
  2.671013e+00    4.606852e+01
  2.676052e+00    4.617443e+01
  2.681091e+00    4.621568e+01
  2.686129e+00    4.630327e+01
  2.691168e+00    4.636681e+01
  2.696207e+00    4.636678e+01
  2.701246e+00    4.648038e+01
  2.706285e+00    4.650197e+01
  2.711324e+00    4.662780e+01
  2.716363e+00    4.672130e+01
  2.721401e+00    4.679300e+01
  2.726440e+00    4.689065e+01
  2.731479e+00    4.695429e+01
  2.736518e+00    4.704640e+01
  2.741557e+00    4.719249e+01
  2.746596e+00    4.714687e+01
  2.751634e+00    4.717442e+01
  2.756673e+00    4.720730e+01
  2.761712e+00    4.726838e+01
  2.766751e+00    4.730683e+01
  2.771790e+00    4.740012e+01
  2.776829e+00    4.763898e+01
  2.781868e+00    4.765411e+01
  2.786906e+00    4.754889e+01
  2.791945e+00    4.749482e+01
  2.796984e+00    4.752502e+01
  2.802023e+00    4.756245e+01
  2.807062e+00    4.756437e+01
  2.812101e+00    4.761237e+01
  2.817139e+00    4.763984e+01
  2.822178e+00    4.763503e+01
  2.827217e+00    4.764695e+01
  2.832256e+00    4.763999e+01
  2.837295e+00    4.763125e+01
  2.842334e+00    4.764629e+01
  2.847373e+00    4.763892e+01
  2.852411e+00    4.763167e+01
  2.857450e+00    4.758818e+01
  2.862489e+00    4.758983e+01
  2.867528e+00    4.758601e+01
  2.872567e+00    4.754261e+01
  2.877606e+00    4.756104e+01
  2.882644e+00    4.760081e+01
  2.887683e+00    4.802667e+01
  2.892722e+00    4.980618e+01
  2.897761e+00    4.942521e+01
  2.902800e+00    4.796071e+01
  2.907839e+00    4.755880e+01
  2.912878e+00    4.744119e+01
  2.917916e+00    4.733887e+01
  2.922955e+00    4.736350e+01
  2.927994e+00    4.731916e+01
  2.933033e+00    4.724076e+01
  2.938072e+00    4.724648e+01
  2.943111e+00    4.715561e+01
  2.948149e+00    4.710237e+01
  2.953188e+00    4.704955e+01
  2.958227e+00    4.700864e+01
  2.963266e+00    4.695932e+01
  2.968305e+00    4.690508e+01
  2.973344e+00    4.686512e+01
  2.978382e+00    4.680633e+01
  2.983421e+00    4.677135e+01
  2.988460e+00    4.673129e+01
  2.993499e+00    4.662759e+01
  2.998538e+00    4.667324e+01
  3.003577e+00    4.663895e+01
  3.008616e+00    4.653073e+01
  3.013654e+00    4.658960e+01
  3.018693e+00    4.659732e+01
  3.023732e+00    4.650126e+01
  3.028771e+00    4.653770e+01
  3.033810e+00    4.650500e+01
  3.038849e+00    4.653702e+01
  3.043887e+00    4.650829e+01
  3.048926e+00    4.651409e+01
  3.053965e+00    4.655321e+01
  3.059004e+00    4.651475e+01
  3.064043e+00    4.664149e+01
  3.069082e+00    4.682109e+01
  3.074121e+00    4.705837e+01
  3.079159e+00    4.692122e+01
  3.084198e+00    4.673345e+01
  3.089237e+00    4.672386e+01
  3.094276e+00    4.671103e+01
  3.099315e+00    4.683843e+01
  3.104354e+00    4.660813e+01
  3.109392e+00    4.649442e+01
  3.114431e+00    4.646486e+01
  3.119470e+00    4.652300e+01
  3.124509e+00    4.654855e+01
  3.129548e+00    4.659095e+01
  3.134587e+00    4.668507e+01
  3.139626e+00    4.676406e+01
  3.144664e+00    4.689703e+01
  3.149703e+00    4.700815e+01
  3.154742e+00    4.721431e+01
  3.159781e+00    4.728627e+01
  3.164820e+00    4.758764e+01
  3.169859e+00    4.779657e+01
  3.174897e+00    4.802345e+01
  3.179936e+00    4.823510e+01
  3.184975e+00    4.836547e+01
  3.190014e+00    5.277061e+01
  3.195053e+00    4.844485e+01
  3.200092e+00    4.837649e+01
  3.205131e+00    4.824849e+01
  3.210169e+00    4.805592e+01
  3.215208e+00    4.782822e+01
  3.220247e+00    4.765767e+01
  3.225286e+00    4.746827e+01
  3.230325e+00    4.735686e+01
  3.235364e+00    4.721127e+01
  3.240402e+00    4.702820e+01
  3.245441e+00    4.699231e+01
  3.250480e+00    4.686750e+01
  3.255519e+00    4.676806e+01
  3.260558e+00    4.666727e+01
  3.265597e+00    4.660376e+01
  3.270636e+00    4.651519e+01
  3.275674e+00    4.654083e+01
  3.280713e+00    4.666437e+01
  3.285752e+00    4.642743e+01
  3.290791e+00    4.639461e+01
  3.295830e+00    4.636495e+01
  3.300869e+00    4.637899e+01
  3.305907e+00    4.636020e+01
  3.310946e+00    4.634403e+01
  3.315985e+00    4.634766e+01
  3.321024e+00    4.636399e+01
  3.326063e+00    4.636011e+01
  3.331102e+00    4.634738e+01
  3.336141e+00    4.634413e+01
  3.341179e+00    4.636342e+01
  3.346218e+00    4.636481e+01
  3.351257e+00    4.638908e+01
  3.356296e+00    4.636971e+01
  3.361335e+00    4.634689e+01
  3.366374e+00    4.637026e+01
  3.371412e+00    4.638564e+01
  3.376451e+00    4.641817e+01
  3.381490e+00    4.640080e+01
  3.386529e+00    4.641406e+01
  3.391568e+00    4.644415e+01
  3.396607e+00    4.642080e+01
  3.401645e+00    4.645784e+01
  3.406684e+00    4.648226e+01
  3.411723e+00    4.644106e+01
  3.416762e+00    4.646282e+01
  3.421801e+00    4.647567e+01
  3.426840e+00    4.648629e+01
  3.431879e+00    4.649914e+01
  3.436917e+00    4.657842e+01
  3.441956e+00    4.653757e+01
  3.446995e+00    4.659602e+01
  3.452034e+00    4.663322e+01
  3.457073e+00    4.677912e+01
  3.462112e+00    4.769918e+01
  3.467150e+00    4.906395e+01
  3.472189e+00    4.812905e+01
  3.477228e+00    4.701521e+01
  3.482267e+00    4.670480e+01
  3.487306e+00    4.666214e+01
  3.492345e+00    4.669237e+01
  3.497384e+00    4.668936e+01
  3.502422e+00    4.672373e+01
  3.507461e+00    4.674144e+01
  3.512500e+00    4.680915e+01
  3.517539e+00    4.678902e+01
  3.522578e+00    4.684551e+01
  3.527617e+00    4.686567e+01
  3.532655e+00    4.691594e+01
  3.537694e+00    4.692112e+01
  3.542733e+00    4.698775e+01
  3.547772e+00    4.700352e+01
  3.552811e+00    4.702139e+01
  3.557850e+00    4.706252e+01
  3.562889e+00    4.711951e+01
  3.567927e+00    4.711470e+01
  3.572966e+00    4.712225e+01
  3.578005e+00    4.716636e+01
  3.583044e+00    4.723252e+01
  3.588083e+00    4.729723e+01
  3.593122e+00    4.728177e+01
  3.598160e+00    4.733342e+01
  3.603199e+00    4.742253e+01
  3.608238e+00    4.741857e+01
  3.613277e+00    4.740160e+01
  3.618316e+00    4.747732e+01
  3.623355e+00    4.753645e+01
  3.628394e+00    4.753385e+01
  3.633432e+00    4.756323e+01
  3.638471e+00    4.764847e+01
  3.643510e+00    4.768089e+01
  3.648549e+00    4.767301e+01
  3.653588e+00    4.774481e+01
  3.658627e+00    4.779674e+01
  3.663665e+00    4.780946e+01
  3.668704e+00    4.784336e+01
  3.673743e+00    4.790599e+01
  3.678782e+00    4.788123e+01
  3.683821e+00    4.794820e+01
  3.688860e+00    4.801236e+01
  3.693899e+00    4.797118e+01
  3.698937e+00    4.805288e+01
  3.703976e+00    4.814447e+01
  3.709015e+00    4.807028e+01
  3.714054e+00    4.817456e+01
  3.719093e+00    4.825269e+01
  3.724132e+00    4.827306e+01
  3.729170e+00    4.834686e+01
  3.734209e+00    4.839287e+01
  3.739248e+00    4.843410e+01
  3.744287e+00    4.854528e+01
  3.749326e+00    4.873798e+01
  3.754365e+00    4.957883e+01
  3.759403e+00    5.299084e+01
  3.764442e+00    5.453198e+01
  3.769481e+00    5.184619e+01
  3.774520e+00    4.953794e+01
  3.779559e+00    4.901779e+01
  3.784598e+00    4.899154e+01
  3.789637e+00    4.895038e+01
  3.794675e+00    4.899984e+01
